Sno,Title,URL
1,Sapiens,/Sapiens-Yuval-Noah-Harari/9780099590088?ref=grid-view
2,Start With Why,/Start-With-Why-Simon-Sinek/9780241958223?ref=grid-view
3,Why We Sleep,/Why-We-Sleep-Matthew-Walker/9780141983769?ref=grid-view
4,Never Split the Difference,/Never-Split-Difference-Chris-Voss/9781847941497?ref=grid-view
5,This is Going to Hurt,/This-is-Going-Hurt-Adam-Kay/9781509858637?ref=grid-view
6,"Thinking, Fast and Slow",/Thinking-Fast-Slow-Daniel-Kahneman/9780141033570?ref=grid-view
7,"The Boy, The Mole, The Fox and The Horse",/Boy-Mole-Fox-Horse-Charlie-Mackesy/9781529105100?ref=grid-view
8,Normal People,/Normal-People-Sally-Rooney/9780571334650?ref=grid-view
9,Atomic Habits,/Atomic-Habits-James-Clear/9781847941831?ref=grid-view
10,Mindset - Updated Edition,/Mindset-Updated-Edition-Carol-Dweck/9781472139955?ref=grid-view
11,My Grammar and I (Or Should That Be 'Me'?),/My-Grammar-I-Or-Should-That-Be-Me-Caroline-Taggart/9781843176572?ref=grid-view
12,When Breath Becomes Air,/When-Breath-Becomes-Air-Paul-Kalanithi/9781784701994?ref=grid-view
13,Educated,/Educated-Tara-Westover/9780099511021?ref=grid-view
14,Surrounded by Idiots,/Surrounded-by-Idiots-Thomas-Erikson/9781785042188?ref=grid-view
15,How to Win Friends and Influence People,/How-Win-Friends-Influence-People-Dale-Carnegie/9781439199190?ref=grid-view
16,Lost Connections,/Lost-Connections-Johann-Hari/9781408878729?ref=grid-view
17,Look Inside Your Body,/Look-Inside-Your-Body-Louie-Stowell/9781409549475?ref=grid-view
18,Bad Blood,/Bad-Blood-John-Carreyrou/9781509868087?ref=grid-view
19,The Subtle Art of Not Giving a F*ck,/Subtle-Art-Not-Giving-F-ck-Mark-Manson/9780062457714?ref=grid-view
20,The Silent Patient,/Silent-Patient-Alex-Michaelides/9781409181637?ref=grid-view
21,12 Rules for Life,/12-Rules-for-Life-Jordan-B-Peterson/9780141988511?ref=grid-view
