Sno,Title,URL,For ages,Format,Dimensions,Publication date,Publisher,Imprint,Publication City/Country,Language,Edition,Illustrations note,ISBN10,ISBN13,Bestsellers rank
1,Sapiens : A Brief History of Humankind,https://www.bookdepository.com/Sapiens-Yuval-Noah-Harari/9780099590088?ref=grid-view,,"Paperback
                                    | 512 pages","129
                                    x 198
                                    x 37mm
                                
                                    | 437g",15 Sep 2016,Vintage Publishing,VINTAGE,"London, United Kingdom",English,,,0099590085,9780099590088,13
2,Start With Why : How Great Leaders Inspire Everyone To Take Action,https://www.bookdepository.com/Start-With-Why-Simon-Sinek/9780241958223?ref=grid-view,,"Paperback
                                    | 256 pages","129
                                    x 198
                                    x 16mm
                                
                                    | 181g",03 Apr 2018,Penguin Books Ltd,,"London, United Kingdom",English,,,0241958229,9780241958223,28
3,Why We Sleep : The New Science of Sleep and Dreams,https://www.bookdepository.com/Why-We-Sleep-Matthew-Walker/9780141983769?ref=grid-view,,"Paperback
                                    | 368 pages","129
                                    x 198
                                    x 21mm
                                
                                    | 269g",27 Jul 2018,Penguin Books Ltd,,"London, United Kingdom",English,,,0141983760,9780141983769,29
4,Never Split the Difference : Negotiating as if Your Life Depended on It,https://www.bookdepository.com/Never-Split-Difference-Chris-Voss/9781847941497?ref=grid-view,,"Paperback
                                    | 288 pages","129
                                    x 198
                                    x 18mm
                                
                                    | 202g",23 Mar 2017,Cornerstone,RANDOM HOUSE BUSINESS BOOKS,"London, United Kingdom",English,,,1847941494,9781847941497,25
5,This is Going to Hurt : Secret Diaries of a Junior Doctor,https://www.bookdepository.com/This-is-Going-Hurt-Adam-Kay/9781509858637?ref=grid-view,,"Paperback
                                    | 256 pages","130
                                    x 197
                                    x 19mm
                                
                                    | 219g",19 Apr 2018,Pan MacMillan,PICADOR,"London, United Kingdom",English,Main Market Ed,,1509858636,9781509858637,3
6,"Thinking, Fast and Slow",https://www.bookdepository.com/Thinking-Fast-Slow-Daniel-Kahneman/9780141033570?ref=grid-view,,"Paperback
                                    | 512 pages","129
                                    x 198
                                    x 22mm
                                
                                    | 351g",15 May 2012,Penguin Books Ltd,,"London, United Kingdom",English,,,0141033576,9780141033570,33
7,"The Boy, The Mole, The Fox and The Horse",https://www.bookdepository.com/Boy-Mole-Fox-Horse-Charlie-Mackesy/9781529105100?ref=grid-view,,"Hardback
                                    | 128 pages","175
                                    x 223
                                    x 23mm
                                
                                    | 544g",10 Oct 2019,Ebury Publishing,Ebury Press,"London, United Kingdom",English,,,1529105102,9781529105100,3
8,Normal People,https://www.bookdepository.com/Normal-People-Sally-Rooney/9780571334650?ref=grid-view,,"Paperback
                                    | 288 pages","129
                                    x 198
                                    x 17mm
                                
                                    | 242g",23 Jul 2019,FABER & FABER,,"London, United Kingdom",English,Main,,0571334652,9780571334650,7
9,Atomic Habits : The life-changing million copy bestseller,https://www.bookdepository.com/Atomic-Habits-James-Clear/9781847941831?ref=grid-view,,"Paperback
                                    | 320 pages","153
                                    x 234
                                    x 23mm
                                
                                    | 390g",27 Nov 2018,Cornerstone,RANDOM HOUSE BUSINESS BOOKS,"London, United Kingdom",English,,,1847941834,9781847941831,13
10,Mindset - Updated Edition : Changing The Way You think To Fulfil Your Potential,https://www.bookdepository.com/Mindset-Updated-Edition-Carol-Dweck/9781472139955?ref=grid-view,,"Paperback
                                    | 320 pages","128
                                    x 196
                                    x 20mm
                                
                                    | 255g",11 Apr 2017,"Little, Brown Book Group",Robinson,"London, United Kingdom",English,Updated Edition,1 b&w illustration,147213995X,9781472139955,88
11,My Grammar and I (Or Should That Be 'Me'?) : Old-School Ways to Sharpen Your English,https://www.bookdepository.com/My-Grammar-I-Or-Should-That-Be-Me-Caroline-Taggart/9781843176572?ref=grid-view,,"Paperback
                                    | 192 pages","129
                                    x 198
                                    x 15.24mm
                                
                                    | 158.76g",01 Dec 2011,Michael O'Mara Books Ltd,,"London, United Kingdom",English,,,1843176572,9781843176572,57
12,When Breath Becomes Air,https://www.bookdepository.com/When-Breath-Becomes-Air-Paul-Kalanithi/9781784701994?ref=grid-view,,"Paperback
                                    | 256 pages","129
                                    x 198
                                    x 16mm
                                
                                    | 181g",05 Jan 2017,Vintage Publishing,VINTAGE,"London, United Kingdom",English,,,1784701998,9781784701994,102
13,Educated : The Sunday Times and New York Times bestselling memoir,https://www.bookdepository.com/Educated-Tara-Westover/9780099511021?ref=grid-view,,"Paperback
                                    | 400 pages","129
                                    x 198
                                    x 24mm
                                
                                    | 277g",27 Nov 2018,Cornerstone,Windmill Books,"London, United Kingdom",English,,,0099511029,9780099511021,9
14,"Surrounded by Idiots : The Four Types of Human Behaviour (or, How to Understand Those Who Cannot Be Understood)",https://www.bookdepository.com/Surrounded-by-Idiots-Thomas-Erikson/9781785042188?ref=grid-view,,"Paperback
                                    | 304 pages","126
                                    x 198
                                    x 18mm
                                
                                    | 208g",30 Jul 2019,Ebury Publishing,VERMILION,"London, United Kingdom",English,,,1785042181,9781785042188,161
15,How to Win Friends and Influence People,https://www.bookdepository.com/How-Win-Friends-Influence-People-Dale-Carnegie/9781439199190?ref=grid-view,,"Paperback
                                    | 304 pages","103
                                    x 170
                                    x 25mm
                                
                                    | 142g",17 May 2011,SIMON & SCHUSTER,POCKET BOOKS,"New York, United States",English,New edition.,,1439199191,9781439199190,2
16,Lost Connections : Why You're Depressed and How to Find Hope,https://www.bookdepository.com/Lost-Connections-Johann-Hari/9781408878729?ref=grid-view,,"Paperback
                                    | 416 pages","129
                                    x 198
                                    x 30mm
                                
                                    | 290g",11 Jan 2019,Bloomsbury Publishing PLC,,"London, United Kingdom",English,,,1408878720,9781408878729,17
17,Look Inside Your Body,https://www.bookdepository.com/Look-Inside-Your-Body-Louie-Stowell/9781409549475?ref=grid-view,0-5,"Hardback
                                    | 14 pages","198
                                    x 224
                                    x 23mm
                                
                                    | 534g",01 Aug 2018,Usborne Publishing Ltd,,"London, United Kingdom",English,New edition,full colour illustrations throughout,140954947X,9781409549475,48
18,Bad Blood : Secrets and Lies in a Silicon Valley Startup,https://www.bookdepository.com/Bad-Blood-John-Carreyrou/9781509868087?ref=grid-view,,"Paperback
                                    | 320 pages","129
                                    x 196
                                    x 24mm
                                
                                    | 264g",11 Jul 2019,Pan MacMillan,PICADOR,"London, United Kingdom",English,Main Market Ed.,,1509868089,9781509868087,154
19,The Subtle Art of Not Giving a F*ck : A Counterintuitive Approach to Living a Good Life,https://www.bookdepository.com/Subtle-Art-Not-Giving-F-ck-Mark-Manson/9780062457714?ref=grid-view,,"Hardback
                                    | 224 pages","140
                                    x 210
                                    x 21mm
                                
                                    | 318g",15 May 2018,HarperCollins Publishers Inc,HarperOne,"New York, United States",English,,,0062457713,9780062457714,60
20,The Silent Patient : The Richard and Judy bookclub pick and Sunday Times Bestseller,https://www.bookdepository.com/Silent-Patient-Alex-Michaelides/9781409181637?ref=grid-view,,"Paperback
                                    | 352 pages","128
                                    x 196
                                    x 26mm
                                
                                    | 247g",15 Jan 2020,Orion Publishing Co,Orion (an Imprint of The Orion Publishing Group Ltd ),"London, United Kingdom",English,,,1409181634,9781409181637,14
21,12 Rules for Life : An Antidote to Chaos,https://www.bookdepository.com/12-Rules-for-Life-Jordan-B-Peterson/9780141988511?ref=grid-view,,"Paperback
                                    | 448 pages","129
                                    x 198
                                    x 25mm
                                
                                    | 326g",30 Aug 2019,Penguin Books Ltd,,"London, United Kingdom",English,,,0141988517,9780141988511,18
